category,n_proteins_with_hit,n_windows,n_on_target_windows,n_off_target_windows,on_target_any_hit_rate,off_target_any_hit_rate,on_target_high_confidence_rate,off_target_high_confidence_rate
DDIP_like,114,142,33,109,0.2894736842105263,0.7807017543859649,0.0,0.0
composition_shuffled_decoy,102,138,24,114,0.23529411764705882,0.8627450980392157,0.0,0.0
negative_determinant_disrupted,183,335,250,85,0.9562841530054644,0.33879781420765026,0.06557377049180328,0.01639344262295082
positive_RII_like,99,197,166,31,1.0,0.23232323232323232,0.8181818181818182,0.010101010101010102
positive_RI_like,100,227,194,33,1.0,0.28,1.0,0.0
positive_dual_like,50,126,100,26,1.0,0.42,0.96,0.0
random_background,3000,3748,0,0,0.0,0.0,0.0,0.0
